TLP,Observable (not an IOC!),Comment,Source
WHITE,jej2r8[.]ranking-kariz95[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,joo5s4[.]cocinadietas[.]website,First stage DoppelGänger,Sekoia.io
WHITE,jozn68[.]universaldecoration[.]com,First stage DoppelGänger,Sekoia.io
WHITE,jxh9l3[.]parimatchbook11[.]com,First stage DoppelGänger,Sekoia.io
WHITE,k1hgpl[.]cdlrecruiterai[.]com,First stage DoppelGänger,Sekoia.io
WHITE,k3gx7u[.]customautobodyaz[.]com,First stage DoppelGänger,Sekoia.io
WHITE,k5opez[.]uniformpalace[.]com[.]pk,First stage DoppelGänger,Sekoia.io
WHITE,k76mmh[.]yassirjamal[.]com,First stage DoppelGänger,Sekoia.io
WHITE,k9hcct[.]californiacarstereo[.]com,First stage DoppelGänger,Sekoia.io
WHITE,khrd2c[.]16c16[.]com,First stage DoppelGänger,Sekoia.io
WHITE,kvy97f[.]kaz-kariz-an7[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,kweley[.]secondarmy[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,kx40je[.]girls[.]tel,First stage DoppelGänger,Sekoia.io
WHITE,l2d66s[.]facultaddeteatro[.]online,First stage DoppelGänger,Sekoia.io
WHITE,lg1dfy[.]gardeningflair[.]com,First stage DoppelGänger,Sekoia.io
WHITE,livbvg[.]karritech[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,lldibn[.]comeback191[.]click,First stage DoppelGänger,Sekoia.io
WHITE,lsfiry[.]gmailster[.]com,First stage DoppelGänger,Sekoia.io
WHITE,lzg33z[.]peardrop[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,lzyd87[.]hmrhdiesmellionline[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,m2wkka[.]ranking-kariz167[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,mj8t93[.]awarabanjara[.]com,First stage DoppelGänger,Sekoia.io
WHITE,mjdvw0[.]pemburujepe1[.]click,First stage DoppelGänger,Sekoia.io
WHITE,mju6m2[.]kredyt-kr52[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,mk7a3y[.]grocerysphere[.]com,First stage DoppelGänger,Sekoia.io
WHITE,n2bm8y[.]iconvzla[.]studio,First stage DoppelGänger,Sekoia.io
WHITE,n4wo6m[.]great-cred102[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,n56cez[.]speaiker[.]com,First stage DoppelGänger,Sekoia.io
WHITE,n7w6bd[.]starfurnishingsimprovement[.]com,First stage DoppelGänger,Sekoia.io
WHITE,n87sy1[.]ppplown[.]com,First stage DoppelGänger,Sekoia.io
WHITE,n8qca3[.]zipplei[.]com,First stage DoppelGänger,Sekoia.io
WHITE,n8tw37[.]mammothcreative[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,n9e5nz[.]kaveesha[.]tech,First stage DoppelGänger,Sekoia.io
WHITE,nb5gd9[.]reyt-credbest-mx27[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,nbn6lk[.]animediaz[.]live,First stage DoppelGänger,Sekoia.io
WHITE,ne9eit[.]wdemo[.]online,First stage DoppelGänger,Sekoia.io
WHITE,nf4mkx[.]postofficebank[.]trade,First stage DoppelGänger,Sekoia.io
WHITE,nfn99m[.]transfercorps[.]com,First stage DoppelGänger,Sekoia.io
WHITE,nfsxso[.]356338d[.]com,First stage DoppelGänger,Sekoia.io
WHITE,nupugw[.]lusail[.]site,First stage DoppelGänger,Sekoia.io
WHITE,nvrnb7[.]leidatova[.]com,First stage DoppelGänger,Sekoia.io
WHITE,nw3m7o[.]samaritana[.]com[.]br,First stage DoppelGänger,Sekoia.io
WHITE,nx29n2[.]penisbreakfast[.]com,First stage DoppelGänger,Sekoia.io
WHITE,nzewrr[.]reyt-cre-mx4[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,o21obd[.]reyt-credbest-mx29[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,o4g3ud[.]skbasedbylegend[.]live,First stage DoppelGänger,Sekoia.io
WHITE,o4pk9d[.]capacitateonline[.]website,First stage DoppelGänger,Sekoia.io
WHITE,o8js2q[.]healthology[.]store,First stage DoppelGänger,Sekoia.io
WHITE,oef267[.]kredit-money-fun76[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,ok44l6[.]renderny[.]com,First stage DoppelGänger,Sekoia.io
WHITE,okg6lv[.]traveltunnels[.]com,First stage DoppelGänger,Sekoia.io
WHITE,oonvrd[.]jualpulsaexpress[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,opvyww[.]denizlifizyorad[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,orcnyo[.]great-cred3[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,p4jqlk[.]ffelifeandhealth[.]com,First stage DoppelGänger,Sekoia.io
WHITE,p527xc[.]mammothcreative[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,p6mpr9[.]pwscontrols[.]com,First stage DoppelGänger,Sekoia.io
WHITE,p6yu7u[.]sga80[.]online,First stage DoppelGänger,Sekoia.io
WHITE,p79hff[.]tengnangkia158[.]click,First stage DoppelGänger,Sekoia.io
WHITE,pcmve9[.]vapewiz[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,pcrrjx[.]kredit-money-fun169[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,pdb81l[.]off-record[.]online,First stage DoppelGänger,Sekoia.io
WHITE,pfghgs[.]c-majac-ag47[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,pg7mzr[.]villarobinsonpuncak[.]com,First stage DoppelGänger,Sekoia.io
WHITE,pgtg2v[.]yellowbarrels[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,picidg[.]ipsofacto[.]lol,First stage DoppelGänger,Sekoia.io
WHITE,po4nez[.]redbostdone[.]online,First stage DoppelGänger,Sekoia.io
WHITE,pociwz[.]fl-studio-mobile-apk[.]online,First stage DoppelGänger,Sekoia.io
WHITE,pphbdk[.]guesto-kre-ad30[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,puz7y6[.]karritech[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,pvw3j6[.]real-credits-snap84[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,pw2urr[.]ppplown[.]com,First stage DoppelGänger,Sekoia.io
WHITE,q0hsrr[.]terobosanbaru[.]click,First stage DoppelGänger,Sekoia.io
WHITE,q2dn5y[.]renderny[.]com,First stage DoppelGänger,Sekoia.io
WHITE,q3uspk[.]momentsrodeo[.]online,First stage DoppelGänger,Sekoia.io
WHITE,q776ig[.]karritech[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,qb2vsf[.]zm-kariz-best227[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,qf7hky[.]jik-kre-an36[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,qfxrvs[.]elshoppo[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,qfyga9[.]shopyew[.]com,First stage DoppelGänger,Sekoia.io
WHITE,qlygnt[.]comeback86[.]click,First stage DoppelGänger,Sekoia.io
