tlp,type,name,observable_types,valid_from,valid_until,confidence,kill_chain,sources
white,indicator,global-pkg.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,trace-ota.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,soft-itunes-ota.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ctrl-respond.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,mz-provider.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,cutl.gd,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,urlme.li,domain-name,2022-01-01T00:00:00Z,2022-06-30T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,cdnnode-smsg.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,package-ssl.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,respond-layer.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ideal-check.com,domain-name,2022-01-01T00:00:00Z,2022-06-30T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,budurl.li,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,respond-layers.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,asset-updater.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,check-sync.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,global-provider.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,app-requests.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,respond-updt.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,pkg-updater.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,respond-source.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ntp-services.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,analytics-ntp.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,emui-build.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
